time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
4.079,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
4.081,-0.32,-0.03,0.94,0.00,0.00,0.01,0.00,0.00,-0.00,0.00
4.135,-0.32,-0.03,0.94,0.00,0.00,0.01,-0.00,0.00,0.00,0.00
4.139,-0.32,-0.03,0.94,0.00,0.00,0.01,-0.00,0.00,0.00,0.00
4.14,-0.32,-0.03,0.94,0.01,-0.00,0.01,-0.00,0.00,0.00,0.00
4.194,-0.32,-0.03,0.94,0.01,-0.00,0.01,-0.00,-0.00,-0.00,0.00
4.196,-0.32,-0.03,0.94,0.01,-0.00,0.01,-0.00,-0.00,-0.00,0.00
4.196,-0.32,-0.03,0.94,0.00,0.00,0.01,-0.00,-0.00,-0.00,0.00
4.315,-0.32,-0.03,0.94,0.00,0.00,0.01,-0.00,-0.00,-0.00,0.00
4.318,-0.32,-0.03,0.94,0.00,0.00,0.01,0.00,-0.00,-0.00,0.00
4.319,-0.32,-0.03,0.94,0.00,-0.01,-0.00,0.00,-0.00,-0.00,0.00
4.375,-0.32,-0.03,0.94,0.00,-0.01,-0.00,0.00,-0.00,-0.00,0.00
4.378,-0.32,-0.03,0.94,0.00,-0.01,-0.00,0.00,-0.00,-0.00,0.00
4.38,-0.32,-0.03,0.94,-0.00,-0.01,0.00,0.00,-0.00,-0.00,0.00
4.433,-0.32,-0.03,0.94,-0.00,-0.01,0.00,0.00,-0.00,0.00,0.00
4.435,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00
4.462,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00
4.493,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00
4.493,-0.32,-0.03,0.94,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00
4.493,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
4.555,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
4.556,-0.32,-0.03,0.94,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00
4.556,-0.32,-0.03,0.94,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00
4.618,-0.32,-0.03,0.94,0.00,-0.01,-0.00,-0.00,0.00,0.00,0.00
4.621,-0.32,-0.03,0.94,0.00,-0.01,-0.00,0.00,0.00,-0.00,0.00
4.623,-0.32,-0.03,0.94,0.00,-0.01,-0.00,0.00,0.00,-0.00,0.00
4.672,-0.32,-0.03,0.94,0.00,-0.01,-0.00,0.00,0.00,-0.00,0.00
4.674,-0.32,-0.03,0.94,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
4.675,-0.32,-0.03,0.94,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
4.733,-0.32,-0.03,0.94,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00
4.737,-0.32,-0.03,0.94,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00
4.739,-0.32,-0.03,0.94,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00
4.854,-0.32,-0.03,0.94,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00
4.857,-0.32,-0.03,0.94,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00
4.859,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00
4.915,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00
4.917,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00
4.917,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00
4.972,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00
4.976,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
4.977,-0.32,-0.03,0.94,0.00,-0.01,-0.01,0.00,-0.00,-0.00,0.00
5.033,-0.32,-0.03,0.94,0.00,-0.01,-0.01,0.00,-0.00,-0.00,0.00
5.038,-0.32,-0.03,0.94,-0.00,-0.01,-0.00,0.00,-0.00,-0.00,0.00
5.039,-0.32,-0.03,0.94,-0.00,-0.01,-0.00,0.00,-0.00,0.00,0.00
5.091,-0.32,-0.03,0.94,-0.00,-0.01,-0.00,0.00,-0.00,0.00,0.00
5.094,-0.32,-0.03,0.94,-0.00,-0.01,-0.00,0.00,0.00,-0.00,0.00
5.096,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
5.149,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
5.151,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
5.152,-0.32,-0.03,0.94,0.01,-0.00,0.00,0.00,0.00,-0.00,0.00
5.214,-0.32,-0.03,0.94,0.01,-0.00,0.00,0.00,-0.00,0.00,0.00
5.216,-0.32,-0.03,0.94,0.01,-0.00,0.00,0.00,-0.00,0.00,0.00
